Ime,1.registracija,Prevoženih,Gorivo,Menjalnik,Motor
Mercedes-Benz C-Razred C 220 CDI-125KW-LEASING-XENON-GR.SEDEŽEV-NAVI-,2013,233856 km,diesel motor,ročni menjalnik,170 KM
Citroen C3 Picasso VTi 120 - SAMO 60000 KM - ODLIČNO OHRANJEN -,2013,60000 km,bencinski motor,ročni menjalnik,120 KM
Volkswagen Passat Variant 2.0 TDI BlueM.Tech. Highline avt. 103kW,2011,355000 km,diesel motor,avtomatski menjalnik,140 KM
Fiat Bravo 1.4 T-Jet 16v 120 Emotion,2009,191500 km,bencinski motor,ročni menjalnik,120 KM
Volkswagen Multivan BENCIN 2.0 TSI BULLI EDITION,2023,13700 km,bencinski motor,avtomatski menjalnik,204 KM
Suzuki SX4 S-Cross 1.4 BOOSTERJET ELEGANCE TOP 4WD AUTO,2019,51100 km,bencinski motor,avtomatski menjalnik,140 KM
Škoda Octavia 2.0 TDI Style 110 kW,2016,198000 km,diesel motor,ročni menjalnik,150 KM
Mercedes-Benz E-Razred E 220CDI-AUT-AVANTGARDE-GR+EL.SEDEŽEV-NAVI-2XPD,2014,236854 km,diesel motor,avtomatski menjalnik,170 KM
Hyundai i20 1.2 CVVT COMFORT,2018,58000 km,bencinski motor,ročni menjalnik,84 KM
Ford Fusion 1.6l  100KM,2006,153000 km,bencinski motor,ročni menjalnik,101 KM
Audi Q5 2.0 TDI DPF quattro 125kW S tronic,2011,259000 km,diesel motor,avtomatski menjalnik,170 KM
Mercedes-Benz CLK-Razred CLK 270 CDI AVANTGARDE,2004,409000 km,diesel motor,avtomatski menjalnik,170 KM
Renault Megane Blue dCi 115 FAP INTENS EDC,2020,33000 km,diesel motor,avtomatski menjalnik,116 KM
Peugeot 5008 1.6 HDI 110 FAP 1.LASTNIK-SLO-150.000km,2012,150000 km,diesel motor,ročni menjalnik,111 KM
Volkswagen Passat 2.0 TDI+LIMO+TEMPOMAT+MULTI.VOLAN+ALU+RADIO CD,2005,302739 km,diesel motor,ročni menjalnik,122 KM
BMW serija X2: xDrive20d ... M SPORT X,2019,87910 km,diesel motor,avtomatski menjalnik,190 KM
Audi SQ7 4.0TDI|quattro|7SEDEZEV|MATRIX|KAMERA|ZRACNO|ACC,2017,153000 km,diesel motor,avtomatski menjalnik,435 KM
Mercedes-Benz C-Razred W205,2000,165000 km,bencinski motor,ročni menjalnik,156 KM
Volkswagen Golf 2.0 FSI turbo GTI-XENON-TEMPOMAT-17COL-KREDIT...,2007,273000 km,bencinski motor,ročni menjalnik,200 KM
Volkswagen Touran 2.0 TDI SCR avt. Highline 110  150,2016,228000 km,diesel motor,avtomatski menjalnik,150 KM
Volkswagen Golf 2.0 TDI R-Line Edition 110  150,2018,150000 km,diesel motor,ročni menjalnik,150 KM
Škoda Superb 1.6 TDI Ambition Combi 88 kW,2017,242500 km,diesel motor,avtomatski menjalnik,120 KM
Audi A5 Sportback 2.0 TDI-130KW-S LINE-STR.OKNO-2X DIG.KLIMA-USNJE,2012,218521 km,diesel motor,ročni menjalnik,177 KM
Toyota Auris 1.4 D4-D Luna,2008,293700 km,diesel motor,ročni menjalnik,90 KM
Audi A3 2.0 TDI-S LINE-LEASING-2X LED+XEN-GR.SED-NAVI-PDC,2013,200000 km,diesel motor,ročni menjalnik,150 KM
Jeep Compass 2.2 CRD 16v Limited 4x4,2012,,diesel motor,ročni menjalnik,163 KM
Peugeot 207 SPORT 1.4 16V 90,2008,207129 km,bencinski motor,ročni menjalnik,88 KM
BMW serija 4 Gran Coupe: 418d Sport Line. M. 440i look 190Hp,2015,159000 km,diesel motor,ročni menjalnik,150 KM
BMW serija 1: 118i XENON .ŠIBEDAH. NAVI,2012,241000 km,bencinski motor,ročni menjalnik,170 KM
Ford Focus 1.6 Zetec SE 100 KM,2005,210000 km,bencinski motor,ročni menjalnik,101 KM
Honda Civic 1.8,2006,188000 km,bencinski motor,ročni menjalnik,140 KM
Peugeot 308 1.6 HDI Allure Edition 1.LASTNIK odlično ohranjen,2012,225000 km,diesel motor,ročni menjalnik,92 KM
Audi A5 Cabriolet 2.0 TDI - BI-XENON -BANG OLUFSEN - TEMPOMAT - NAVI,2012,219000 km,diesel motor,ročni menjalnik,177 KM
Fiat 500 1.2 S,2017,88000 km,bencinski motor,ročni menjalnik,69 KM
Volkswagen Golf 2.0 GTI Performance DSG,2017,139000 km,bencinski motor,avtomatski menjalnik,245 KM
Škoda Fabia 1.2 Happy-KOT NOVA-GARAŽIRANA,2009,233000 km,bencinski motor,ročni menjalnik,60 KM
Renault Scenic TEHNIČNI 1 LETO ZIMSKE GUME,2014,189000 km,diesel motor,ročni menjalnik,110 KM
Volkswagen Passat Variant 2.0 TDI BMT SCR Business avt. 110kW- Rline,2022,42000 km,diesel motor,avtomatski menjalnik,150 KM
Opel Astra 1.4 16V TURBO SPORT-SLO-2.LASTNIK-BI-XENON-ALU-TEM,2012,169000 km,bencinski motor,ročni menjalnik,140 KM
Audi A4 Avant 2.0 TDI 110  150,2016,247000 km,diesel motor,ročni menjalnik,150 KM
Škoda Octavia 2.0 TDI Style DSG 110 kW,2021,56000 km,diesel motor,avtomatski menjalnik,150 KM
Mercedes-Benz GLC coupe GLC 220 d 4MATIC kupe AMG-LINE.LED.NAVI.ALU.19,2018,172340 km,diesel motor,avtomatski menjalnik,170 KM
Volkswagen Passat Variant 2.0 TDI Highline avt.190hp-LED-AMBIENT- KAMERA,2019,140000 km,diesel motor,avtomatski menjalnik,190 KM
Volkswagen Touran 1.9 TDI avt. Highline 77  105,2007,223000 km,diesel motor,ročni menjalnik,105 KM
Volkswagen Passat Variant 1.9 TDI 74 kW Highline,2003,,diesel motor,ročni menjalnik,101 KM
Dodge Journey SXT 2.0 CRD  6M T],2009,335000 km,diesel motor,avtomatski menjalnik,140 KM
Peugeot 308 1.2°PureTech°STYLE°1LAST°SLO°NA OBROKE-BREZPOLOGA°,2015,109800 km,bencinski motor,ročni menjalnik,131 KM
Renault Zoe BOSE - LASTNIŠKA BATERIJA 52kw,2021,45000 km,elektro pogon,avtomatski menjalnik,134 KM
